"응답자 특성별(1)",응답자 특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"응답자 특성별(1)",응답자 특성별(2), 0 (전혀 만족하지 않는다) (%),1 (%),2 (%),3 (%),4 (%),5 (보통) (%),6 (%),7 (%),8 (%),9 (%),10 (매우만족한다) (%),10점평균 (점)
"전체",소계,0.6,0.5,1.4,2.9,3.6,29.6,13.8,17.6,16.4,7.8,5.7,6.39
"권역별",북부권,0.6,0.5,1.4,3.0,3.6,29.1,14.7,18.4,16.3,7.3,5.0,6.36
"권역별",서해안권,0.4,0.5,1.5,2.5,4.0,28.2,11.6,16.5,17.1,8.3,9.4,6.59
"권역별",내륙권,0.4,0.4,1.5,2.5,3.0,30.9,11.8,15.4,17.8,10.0,6.3,6.52
"권역별",금강권,0.6,0.8,1.3,3.0,4.2,31.8,14.4,17.5,14.3,7.0,5.0,6.25
"시군별",천안시,0.7,0.5,1.8,3.5,3.8,28.3,12.5,19.1,17.4,7.3,5.0,6.36
"시군별",공주시,0.1,0.7,1.9,2.8,3.2,39.6,15.9,15.1,11.8,5.0,3.8,6.03
"시군별",보령시,0.4,0.5,1.1,2.8,5.6,34.1,12.1,14.5,14.9,8.6,5.4,6.29
"시군별",아산시,0.7,0.4,1.0,2.7,2.7,28.1,11.7,18.6,18.2,9.0,6.8,6.57
"시군별",서산시,0.5,0.6,1.3,2.4,4.5,33.7,25.8,15.1,9.5,4.4,2.3,5.95
"시군별",논산시,0.8,0.4,1.3,3.1,4.9,33.9,15.5,15.9,12.2,6.4,5.6,6.17
"시군별",계룡시,0.6,0.2,1.1,2.1,2.4,22.6,9.7,16.9,22.9,12.4,9.0,6.93
"시군별",당진시,0.5,0.4,0.9,2.2,3.8,29.6,17.1,18.5,15.3,7.2,4.4,6.36
"시군별",금산군,0.7,1.3,1.3,3.3,4.2,26.4,15.3,18.1,17.1,7.5,4.8,6.33
"시군별",부여군,0.3,1.0,1.4,2.6,2.9,32.5,11.8,19.9,15.9,7.8,4.0,6.33
"시군별",서천군,0.2,0.2,1.0,2.0,3.0,14.3,15.0,26.3,23.1,6.9,8.1,6.94
"시군별",청양군,0.7,0.4,1.7,2.5,5.3,17.0,13.2,19.2,25.4,11.5,3.1,6.69
"시군별",홍성군,0.1,0.3,0.9,2.0,1.2,24.2,9.3,13.7,23.3,16.6,8.6,7.07
"시군별",예산군,0.8,0.4,2.1,2.9,4.3,37.4,9.8,15.6,13.5,6.6,6.9,6.20
"시군별",태안군,0.6,0.8,2.6,2.3,2.5,30.7,8.0,11.5,15.4,9.0,16.6,6.75
"성별",남자,0.5,0.6,1.4,2.9,3.4,29.5,13.6,18.0,16.6,7.6,5.9,6.41
"성별",여자,0.6,0.5,1.5,2.8,3.9,29.8,14.1,17.1,16.2,8.1,5.4,6.38
"연령별",15~19세,0.1,0.1,1.1,2.7,3.5,28.5,12.7,18.0,19.3,8.0,6.1,6.56
"연령별",20대,0.8,0.2,0.9,2.8,4.2,24.4,14.3,17.1,20.3,8.3,6.9,6.60
"연령별",30대,0.6,0.4,1.4,2.6,2.7,26.6,12.3,19.7,18.2,8.9,6.6,6.58
"연령별",40대,0.7,0.3,1.3,2.8,2.8,27.0,12.8,20.0,18.6,7.8,6.1,6.53
"연령별",50대,0.6,0.5,1.1,2.9,3.7,30.4,15.0,17.3,15.1,8.2,5.2,6.36
"연령별",60세이상,0.4,0.9,2.0,3.1,4.2,34.1,14.4,15.7,13.2,7.0,4.8,6.15
"학력별",초졸이하,0.7,1.2,2.4,3.6,5.0,36.0,14.7,14.2,11.7,6.2,4.3,5.97
"학력별",중졸이하,0.4,0.9,2.5,3.0,4.6,34.2,15.7,14.9,12.2,6.7,4.8,6.09
"학력별",고졸이하,0.6,0.4,1.1,3.3,3.6,32.4,14.1,17.0,15.1,7.0,5.3,6.30
"학력별",대학이상,0.5,0.2,1.1,2.2,2.8,23.8,12.9,20.0,20.3,9.4,6.8,6.71
"학력별",무응답,0.0,0.0,0.0,0.0,3.9,51.1,13.1,20.8,3.1,0.0,8.0,6.00
