"특성별(1)",특성별(2),2023,2023,2023,2023,2023
"특성별(1)",특성별(2),매우 불만족,불만족,보통,만족,매우 만족
"천안시(전체)",소계,1.3,6.9,43.5,39.8,8.5
"권역별",읍면부,1.3,11.1,49.8,29.2,8.6
"권역별",동부,1.3,6.1,42.1,42.0,8.5
"성별",남자,1.7,7.1,44.4,39.4,7.3
"성별",여자,0.7,6.6,42.1,40.3,10.3
"연령별",19~34세,0.9,4.8,44.8,40.8,8.7
"연령별",35~49세,0.8,6.1,39.4,44.3,9.4
"연령별",50~64세,2.1,9.8,46.9,33.8,7.5
"교육정도별",중졸이하,1.1,19.9,52.4,24.2,2.3
"교육정도별",고졸,1.9,7.9,48.4,34.2,7.5
"교육정도별",대졸이상,0.7,4.8,38.2,46.3,10.0
"혼인상태별",미혼,1.6,4.2,49.1,37.8,7.3
"혼인상태별",배우자있음,1.0,7.8,39.0,42.7,9.5
"혼인상태별",사별/이혼,2.2,10.1,54.9,26.9,5.9
"종사상지위별",상용근로,0.7,5.4,42.0,42.9,9.0
"종사상지위별",임시일용,2.8,11.2,50.4,28.4,7.2
"종사상지위별",비임금근로,2.3,9.4,44.2,36.5,7.7
"직업별",관리자·전문가,-,2.4,31.6,53.4,12.6
"직업별",사무종사자,0.5,2.8,42.3,41.0,13.4
"직업별",서비스·판매종사자,0.6,6.1,49.9,38.4,5.0
"직업별",농림어업숙련종사자,6.6,24.9,46.9,16.9,4.7
"직업별",기능·기계조작·조립 종사자,2.0,9.9,46.9,35.9,5.2
"직업별",단순노무종사자,3.4,14.5,48.1,27.8,6.2
