"응답자 특성별(1)",응답자 특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"응답자 특성별(1)",응답자 특성별(2),(개인차원) 신체적 건강,(개인차원) 신체적 건강,(개인차원) 신체적 건강,(개인차원) 신체적 건강,(개인차원) 신체적 건강,(개인차원) 신체적 건강,(개인차원) 정신적 건강,(개인차원) 정신적 건강,(개인차원) 정신적 건강,(개인차원) 정신적 건강,(개인차원) 정신적 건강,(개인차원) 정신적 건강,(개인차원) 일과 여가의 균형,(개인차원) 일과 여가의 균형,(개인차원) 일과 여가의 균형,(개인차원) 일과 여가의 균형,(개인차원) 일과 여가의 균형,(개인차원) 일과 여가의 균형,정책결정에 대한 천안시민의 참여 기회,정책결정에 대한 천안시민의 참여 기회,정책결정에 대한 천안시민의 참여 기회,정책결정에 대한 천안시민의 참여 기회,정책결정에 대한 천안시민의 참여 기회,정책결정에 대한 천안시민의 참여 기회,시민의견의 천안시정 반영도,시민의견의 천안시정 반영도,시민의견의 천안시정 반영도,시민의견의 천안시정 반영도,시민의견의 천안시정 반영도,시민의견의 천안시정 반영도
"응답자 특성별(1)",응답자 특성별(2),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),5점 평균 (점)
"전체",소계,2.4,9.0,45.6,32.5,10.5,3.40,2.3,9.2,45.9,31.9,10.8,3.40,3.5,14.8,52.0,23.2,6.5,3.14,7.0,27.2,56.0,7.9,1.9,2.70,8.8,26.1,55.3,8.2,1.6,2.68
"권역별",북부권,2.4,9.0,45.6,32.5,10.5,3.40,2.3,9.2,45.9,31.9,10.8,3.40,3.5,14.8,52.0,23.2,6.5,3.14,7.0,27.2,56.0,7.9,1.9,2.70,8.8,26.1,55.3,8.2,1.6,2.68
"시군별",천안시,2.4,9.0,45.6,32.5,10.5,3.40,2.3,9.2,45.9,31.9,10.8,3.40,3.5,14.8,52.0,23.2,6.5,3.14,7.0,27.2,56.0,7.9,1.9,2.70,8.8,26.1,55.3,8.2,1.6,2.68
"성별",남자,1.8,7.9,44.4,33.6,12.3,3.47,2.1,7.9,45.5,32.5,12.1,3.45,3.0,14.6,50.9,23.8,7.6,3.18,8.0,27.9,53.2,8.5,2.4,2.69,9.6,26.4,53.1,8.7,2.1,2.67
"성별",여자,3.1,10.2,46.7,31.3,8.6,3.32,2.6,10.5,46.3,31.2,9.4,3.34,3.9,15.0,53.2,22.5,5.3,3.10,6.0,26.5,59.0,7.2,1.3,2.71,8.0,25.8,57.5,7.7,1.1,2.68
"연령별",15~19세,2.2,3.3,43.3,31.1,20.0,3.63,3.3,6.7,42.2,28.9,18.9,3.53,3.3,13.3,53.3,17.8,12.2,3.22,2.2,22.2,62.2,6.7,6.7,2.93,3.3,23.3,62.2,5.6,5.6,2.87
"연령별",20대,1.1,4.2,40.5,35.4,18.8,3.66,1.1,7.1,40.0,34.2,17.6,3.60,2.0,14.0,49.8,25.5,8.7,3.25,4.3,22.0,61.3,10.1,2.3,2.84,6.2,18.9,62.1,10.7,2.0,2.83
"연령별",30대,0.9,5.2,52.0,33.0,8.8,3.44,1.8,6.6,49.8,32.4,9.3,3.41,4.4,12.1,51.8,25.4,6.2,3.17,9.8,23.4,55.3,9.7,1.8,2.70,13.1,22.0,53.7,9.7,1.6,2.65
"연령별",40대,0.9,6.9,48.0,35.6,8.6,3.44,1.5,8.9,46.0,34.7,9.0,3.41,3.1,17.5,51.2,22.5,5.7,3.10,9.0,30.3,52.2,7.1,1.5,2.62,11.0,29.2,50.5,7.8,1.5,2.60
"연령별",50대,1.7,9.1,48.4,34.2,6.6,3.35,1.7,9.1,48.6,33.3,7.3,3.35,2.9,15.1,54.0,24.3,3.7,3.11,7.8,29.0,55.9,6.4,0.8,2.63,8.5,29.4,55.1,6.4,0.7,2.61
"연령별",60세이상,7.0,19.9,39.9,25.5,7.8,3.07,4.8,14.1,45.7,26.3,9.0,3.21,4.7,15.4,52.6,20.7,6.6,3.09,5.7,31.7,54.3,6.8,1.5,2.67,6.9,30.4,53.8,7.7,1.2,2.66
"학력별",초졸이하,11.6,26.9,33.4,21.6,6.5,2.84,8.7,20.1,41.2,23.8,6.1,2.99,8.7,19.1,49.1,18.2,4.9,2.91,6.3,31.2,53.2,7.6,1.7,2.67,8.5,30.1,51.6,8.1,1.7,2.65
"학력별",중졸이하,3.7,14.2,42.7,30.1,9.4,3.27,4.1,13.6,49.4,23.7,9.2,3.20,3.6,17.4,58.3,15.4,5.3,3.01,6.1,29.7,58.5,3.3,2.4,2.66,7.1,29.3,56.7,5.4,1.5,2.65
"학력별",고졸이하,1.5,8.4,49.3,32.5,8.3,3.38,1.2,8.7,49.1,31.9,9.2,3.39,2.7,15.6,54.4,22.2,5.1,3.11,6.1,27.9,56.8,7.5,1.8,2.71,7.3,28.2,54.8,8.4,1.3,2.68
"학력별",대학이상,1.2,5.2,45.3,35.0,13.3,3.54,1.7,6.7,43.5,34.8,13.3,3.51,3.0,12.9,49.6,26.3,8.2,3.24,8.2,25.5,55.5,9.0,1.9,2.71,10.4,23.0,56.1,8.6,1.9,2.69
"학력별",무응답,0.0,0.0,100.0,0.0,0.0,3.00,0.0,0.0,100.0,0.0,0.0,3.00,0.0,0.0,100.0,0.0,0.0,3.00,0.0,0.0,100.0,0.0,0.0,3.00,0.0,0.0,100.0,0.0,0.0,3.00
"직업별",전문/관리,1.1,3.2,44.2,38.5,13.0,3.59,1.8,5.6,41.9,35.6,15.2,3.57,2.8,10.1,42.9,33.2,11.0,3.40,12.2,23.3,54.8,8.3,1.4,2.63,12.9,21.1,56.9,7.7,1.4,2.64
"직업별",사무,0.0,5.2,42.8,39.2,12.7,3.59,1.0,7.5,41.3,37.9,12.3,3.53,2.2,15.8,40.8,34.7,6.6,3.28,6.0,25.1,53.5,13.4,2.0,2.80,10.2,22.4,52.4,12.7,2.3,2.75
"직업별",서비스/판매,1.4,6.8,47.5,37.5,6.8,3.42,1.3,7.0,46.1,38.8,6.8,3.43,2.7,13.4,56.8,24.2,3.0,3.11,4.6,27.0,57.9,9.7,0.8,2.75,6.0,27.1,57.8,8.7,0.4,2.70
"직업별",농어업,2.0,10.7,38.9,32.8,15.6,3.49,1.0,9.1,39.4,35.8,14.6,3.54,1.0,10.5,48.9,27.0,12.6,3.40,6.1,42.1,43.1,6.1,2.7,2.57,8.1,41.1,42.1,6.1,2.7,2.54
"직업별",기능/노무 등,1.3,7.4,47.5,33.7,10.0,3.44,1.7,7.3,48.0,32.5,10.5,3.43,3.2,14.2,52.6,24.0,5.9,3.15,8.4,25.6,58.6,5.7,1.6,2.67,9.5,26.4,56.4,6.3,1.3,2.63
"직업별",직업없음,4.6,13.3,45.2,26.6,10.3,3.25,3.6,12.5,47.2,26.4,10.3,3.27,4.5,16.8,56.0,16.2,6.4,3.03,6.0,29.1,55.5,7.1,2.4,2.71,7.8,27.1,54.9,8.4,1.9,2.70
"충남거주기간별",5년 미만,2.3,3.7,50.5,28.7,14.8,3.50,1.9,6.3,47.0,31.1,13.7,3.48,3.0,13.4,47.9,23.9,11.8,3.28,6.0,19.3,64.4,7.8,2.6,2.82,7.5,16.3,64.0,9.8,2.4,2.83
"충남거주기간별",5~10년 미만,2.0,10.7,48.2,30.4,8.7,3.33,3.8,11.4,45.6,30.5,8.7,3.29,6.0,17.4,50.7,21.9,4.1,3.01,10.6,25.7,56.2,7.1,0.4,2.61,13.6,23.3,52.2,10.1,0.8,2.61
